partner_name,category,region,post_count,total_reposts,total_comments,total_attitudes,total_comment_likes,avg_reposts,avg_comments,avg_attitudes,engagement_rate,top_posts,date_range_start,date_range_end
吴磊,Artist,CN,6,1013550,277985,4092946,0,168925.0,46330.83,682157.67,897413.5,"[""5258590170384993|和平精英的微博视频(4,035,943 likes)"", ""5259624242745380|和平精英的微博视频(24,678 likes)"", ""5259654437012774|#和平精英丝路贺新春#(15,614 likes)""]",2026-01-24T04:30:59+00:00,2026-02-11T03:00:00+00:00
华晨宇,Artist,CN,127,1130807,519477,3034692,0,8903.99,4090.37,23895.21,36889.57,"[""4566784063839436|舞台中央实力歌手，极致唱功凝聚全场目光聚光灯下和战场上同样出色，话筒和信号枪都是他的武器和我们一样，(767,740 likes)"", ""4882061397854723|和平精英的微博视频(404,138 likes)"", ""5195149396673453|2025#和平精英刺激之夜#·全明星九大和平风测试卷大揭秘！8月2日12:30，游戏内同款时尚趋势测(98,453 likes)""]",2020-11-02T04:00:30+00:00,2026-02-11T03:15:00+00:00
Tian Xiwei,Artist,CN,37,1087324,256445,2410603,0,29387.14,6930.95,65151.43,101469.51,"[""5125208541235745|和平精英的微博视频(445,690 likes)"", ""5193709911803955|微博抽奖公示(253,980 likes)"", ""5194062241726687|和平精英的微博视频(236,060 likes)""]",2024-10-05T02:00:13+00:00,2026-02-11T03:45:00+00:00
神秘代言人,Artist,CN,2,1548353,224712,2218164,0,774176.5,112356.0,1109082.0,1995614.5,"[""4565696862749711|天上地下   一箭穿云展歌喉险中求胜   召唤空投小能手🎙️舞台上他是实力歌手，光芒万丈战场中身位敏(1,119,447 likes)"", ""4565696799577242|可盐可甜    形象百变无极限补充能量    状态满满再进圈🎬荧幕中她是人气演员，风格多变，演绎古今(1,098,717 likes)""]",2020-10-30T04:00:06+00:00,2020-10-30T04:00:20+00:00
"迪丽热巴, 华晨宇, 王一博, 杨超越",Artist,CN,4,142006,24050,1533731,0,35501.5,6012.5,383432.75,424946.75,"[""4595042658288632|#游戏只是游戏吗#和平精英代言人天团来啦，特种兵们快集合！换下璀璨华服，披上一身俊朗戎装他们用无畏勇(631,716 likes)"", ""4588497040576065|和平精英的微博视频(495,530 likes)"", ""4571628623629875|#明星游戏ID可以多搞笑# #和平精英直播#和平精英品牌代言人精彩四排大家看了吗，鸡仔没想到四位代言(254,886 likes)""]",2020-11-09T10:25:48+00:00,2021-01-19T03:30:03+00:00
宋茜,Artist,CN,38,373103,72050,1185463,0,9818.5,1896.05,31196.39,42910.95,"[""4880285688136109|和平精英的微博视频(221,392 likes)"", ""4795087332835946|和平精英的微博视频(165,153 likes)"", ""4795089756357572|#和平精英品牌代言人宋茜#(146,147 likes)""]",2019-08-20T10:01:51+00:00,2026-02-11T03:30:00+00:00
"迪丽热巴, 华晨宇, 王一博, 杨超越, 硬糖少女303",Artist,CN,1,130232,8733,1167922,0,130232.0,8733.0,1167922.0,1306887.0,"[""4634535385631648|和平精英的微博视频(1,167,922 likes)""]",2021-05-08T03:00:04+00:00,2021-05-08T03:00:04+00:00
迪丽热巴,Artist,CN,8,452562,157051,1121678,0,56570.25,19631.38,140209.75,216411.38,"[""4566783963440127|百变角色可萌可A，超高人气实力演员游戏里刚毅坚韧，一身战妆奔赴战场和我们一样，热爱挑战和冒险和我们一(948,962 likes)"", ""4706394026803269|#和平精英四排节# 车队集结！ 肆意换装，不在乎每位对手 品牌代言人@Dear-迪丽热巴 将和队友@(62,421 likes)"", ""4585960304548907|#和平精英大吉大礼狂欢季# | #和平精英代言人新年物资#🎆2021新年即将到来，光子鸡新年圆梦活动(39,855 likes)""]",2020-11-02T04:00:06+00:00,2021-11-29T06:44:46+00:00
UNIQ-王一博,Artist,CN,7,372757,79008,985099,0,53251.0,11286.86,140728.43,205266.29,"[""4566784139858665|飞驰竞技追风少年，追逐突破主宰舞台勇敢无畏热血精英，面对困境永不言弃和我们一样，热爱竞技冒险和我们一(811,745 likes)"", ""4663254703671377|和平精英的微博视频(80,732 likes)"", ""4664723449056362|和平精英的微博视频(28,326 likes)""]",2020-11-02T04:00:48+00:00,2021-07-30T11:25:09+00:00
"迪丽热巴, 华晨宇",Artist,CN,1,140838,12636,867477,0,140838.0,12636.0,867477.0,1020951.0,"[""4569004351696019|#2020和平精英国际冠军杯# #和平精英全明星双排赛#【全明星双排表演赛】最终批阵容解锁 18/1(867,477 likes)""]",2020-11-08T07:03:08+00:00,2020-11-08T07:03:08+00:00
杨超越,Artist,CN,9,388302,134131,846626,0,43144.67,14903.44,94069.56,152117.67,"[""4566784194124860|自带光环的活力少女，真实勇敢的综艺ACE游戏里能苟能刚，荧屏和战场都能所向披靡和我们一样，热爱竞技冒(519,394 likes)"", ""4565696988578045|向杨而生  超越自我向天行落地天命  上分王牌小精英🎙️舞台上她是活力少女，展现真自我赛场上她能量永(222,008 likes)"", ""4585960496442716|#和平精英大吉大礼狂欢季# | #和平精英代言人新年物资#🎆2021新年即将到来，光子鸡新年圆梦活动(49,690 likes)""]",2020-06-30T16:41:56+00:00,2021-08-28T04:00:01+00:00
"华晨宇, 王一博, 刘宪华, 吴宣仪",Artist,CN,1,50282,6298,640694,0,50282.0,6298.0,640694.0,697274.0,"[""4664692465470377|和平精英的微博视频(640,694 likes)""]",2021-07-30T08:13:32+00:00,2021-07-30T08:13:32+00:00
硬糖少女303,Artist,CN,15,97917,17780,586015,0,6527.8,1185.33,39067.67,46780.8,"[""4601942502543491|新年特辑第1期：硬糖少女303爆笑玩抓鸭子(114,775 likes)"", ""4553010719752643|和平精英的微博视频(83,230 likes)"", ""4606042639711474|和平精英的微博视频(60,621 likes)""]",2020-09-01T02:23:08+00:00,2021-08-13T07:30:52+00:00
曾舜晞,Artist,CN,8,385352,122919,572050,0,48169.0,15364.88,71506.25,135040.12,"[""5116518780897269|#和平精英神装上新##曾舜晞COS幽焰骑士#和平精英幽焰大使@曾舜晞Joseph  首次COS，化身(134,695 likes)"", ""5117228486493239|和平精英的微博视频(118,757 likes)"", ""5116254543154482|和平精英的微博视频(79,501 likes)""]",2024-12-27T10:00:01+00:00,2025-01-03T11:06:25+00:00
Mercedes-Benz,Brand,CN,4,14339,5696,569657,0,3584.75,1424.0,142414.25,147423.0,"[""4660748153788671|🎙️【和平精英超级杯购票指南】#超级杯19日正式开票##和平精英超级杯#  2021年7月31日，2(556,402 likes)"", ""4483797259057231|和平精英的微博视频(9,680 likes)"", ""4664356887598041|和平精英的微博视频(3,514 likes)""]",2020-03-18T04:00:33+00:00,2021-07-29T10:00:03+00:00
侯明昊,Artist,CN,5,282040,183389,565156,0,56408.0,36677.8,113031.2,206117.0,"[""5272723094766911|#和平精英霜月狼主#(528,502 likes)"", ""5272730770866457|和平精英的微博视频(20,089 likes)"", ""5273055242486319|和平精英的微博视频(8,212 likes)""]",2026-03-04T04:30:11+00:00,2026-03-06T02:00:01+00:00
虞书欣,Artist,CN,19,148891,105138,558223,0,7836.37,5533.58,29380.16,42750.11,"[""5059616335465776|特种兵请注意，准备查收「欣」空投！#和平精英空投节#由品牌代言人@虞书欣Esther 演绎的空投节主(167,038 likes)"", ""5126703420803303|#和平精英春节双神装降临##虞书欣林一二搭演双强古偶#起飞成凤！和平精英品牌代言人@虞书欣Esthe(61,799 likes)"", ""5126280647543400|和平精英超话#和平精英春节双神装降临##虞书欣林一二搭演双强古偶#盛世已至，惊鸿再现和平精英品牌代言(60,741 likes)""]",2024-04-25T04:30:01+00:00,2025-08-12T11:00:27+00:00
Metro Exodus,Game,CN,457,183380,186388,502004,0,401.27,407.85,1098.48,1907.6,"[""5116979314434749|和平精英的微博视频(67,710 likes)"", ""5129526999254377|和平精英的微博视频(25,270 likes)"", ""5209267432850185|和平精英的微博视频(20,422 likes)""]",2020-10-15T16:05:03+00:00,2026-02-27T10:00:00+00:00
王嘉尔,Artist,CN,18,287877,348146,456667,0,15993.17,19341.44,25370.39,60705.0,"[""4925910312032521|和平精英的微博视频(104,227 likes)"", ""5059984116684828|#王嘉尔水墨龙神##和平精英墨龙九天#\""龙吟水墨，神装现世！\""和平精英首套水墨国风龙年定制神装丨墨龙(30,699 likes)"", ""4931346134472005|和平精英的微博视频(29,876 likes)""]",2023-07-21T04:00:00+00:00,2024-08-03T03:30:01+00:00
火箭少女101,Artist,CN,28,1075341,28737,397572,0,38405.04,1026.32,14199.0,53630.36,"[""4411453614655709|和平精英的微博视频(91,180 likes)"", ""4411452670856942|和平精英的微博视频(86,532 likes)"", ""4413228270297924|和平精英的微博视频(49,249 likes)""]",2019-08-31T12:49:00+00:00,2024-02-04T16:00:04+00:00
