partner,category,posts,total_likes,total_comments,avg_likes
Attack on Titan,Anime,43,1788244,7653,41587
BABYMONSTER,Artist,31,1506916,17978,48610
Alan Walker,Artist,33,1348767,14798,40871
Godzilla,Movie,26,1207513,6308,46442
Transformers,Movie,59,1133216,8637,19207
Porsche,Brand,7,774975,3363,110710
Shelby,Brand,12,673413,5040,56117
Suit Anukhra,IP,17,462948,3551,27232
Bugatti,Brand,14,426527,1679,30466
Dying Light,Game,10,324389,1268,32438
Jujutsu Kaisen,Anime,1,254404,2060,254404
Skibidi Toilet,IP,5,174151,10056,34830
G-Dragon,Artist,11,166608,3735,15146
Balenciaga,Unknown,5,160388,912,32077
Toyota,Brand,5,146367,512,29273
Dodge,Brand,11,140442,2052,12767
Lotus,Unknown,4,122067,446,30516
Ferrari,Brand,3,119816,1658,39938
Kaiju No. 8,Anime,2,114716,304,57358
Thekingoffighters,Unknown,5,113575,3295,22715
Dune,Movie,6,100491,159,16748
Suitanukhrawalk370,Unknown,1,75081,101,75081
OneRepublic,Artist,4,62708,742,15677
Suitanukhra370Pv,Unknown,1,58249,234,58249
Peakyblinders,Unknown,2,50582,228,25291
Audi,Brand,3,48278,627,16092
Lotr,Unknown,4,35885,148,8971
Suit390Pv,Unknown,1,33005,332,33005
Bus,Unknown,2,30357,155,15178
S2Ola,Unknown,2,27408,245,13704
BTS,Artist,1,25465,84,25465
Suitpreheat370,Unknown,2,24221,180,12110
Ppen,Unknown,4,15237,216,3809
Rockstarenergy,Unknown,3,15122,146,5040
Dacia,Brand,3,12682,96,4227
Suit390,Unknown,1,12565,221,12565
MrBeast,Creator,1,8113,124,8113
Suit430,Unknown,1,7780,312,7780
Suitcos390,Unknown,1,6371,104,6371
Ducati,Brand,1,4604,50,4604
Butterbear,Unknown,1,3503,13,3503
McLaren,Brand,1,3195,13,3195
BMW,Brand,1,2965,250,2965
Godzilla vs Kong,Movie,1,2941,34,2941
Minions,IP,1,2050,61,2050
