region,videos,total_views,total_likes,total_comments,avg_views,avg_likes
India,1175,3271989484,51266773,1211372,2784672.0,43631.0
Indonesia,8963,1130822277,21572562,327739,126166.0,2407.0
Turkey,3657,928247231,9969396,569529,253828.0,2726.0
Pakistan,5243,575378722,6442886,143142,109742.0,1229.0
MENA,3931,520131675,5276447,1457781,132315.0,1342.0
CIS,4631,321394113,3232735,114208,69401.0,698.0
Malaysia,8631,239118576,2727994,71441,27705.0,316.0
LATAM,4212,41788008,631981,21613,9921.0,150.0
Thailand,2720,39794157,478130,5836,14630.0,176.0
Taiwan,4385,23456364,243933,16505,5349.0,56.0
